"编号","所属执行","所属模块","来源Bug","任务名称","任务描述","任务类型","优先级","预计开始","实际开始","截止日期","任务状态","最初预计","总计消耗","预计剩余","抄送给","进度","任务模式","由谁创建","创建日期","指派给","指派日期","由谁完成","实际完成","由谁取消","取消时间","由谁关闭","关闭时间","关闭原因","最后修改","最后修改日期","激活日期","附件"
"512","/Work Order迭代需求(#49)","/工单系统五期(#433)","","【工单详情优化】工单详情新增AI chat history记录","需求说明
1，用户在AI自助客服系统聊过的内容需要传到工单系统的详情做记录(显示样式如图)
２，用户在AI自助客服系统点击一对一客服，到工单这边之后还是必须要提交对应资料(图2/图3举例说明)




<img src=““{15697.png}““ alt=““““ />
<img src=““{15698.png}““ alt=““““ />
<img src=““{15699.png}““ alt=““““ />","开发","3","","","","未开始","0h","0h","0h","","0%","","beck","2026-01-06","damon","2026-01-06","","","","","","","","","","","",""
"504","/Work Order迭代需求(#49)","/(#0)","","【工单后台】工单日报-工单员工统计增加字段","页面路径：
““工单管理 - 工单日报 - 工单员工统“计 列表字段
增加字段项，取”工单管理 - 工单配置“ 工单类型名称
<img src=““{15345.png}““ alt=““““ />
<img src=““{15346.png}““ alt=““““ />","开发","3","","","","未开始","0h","0h","16h","","0%","","beck","2025-12-26","Andy","2025-12-26","","","","","","","","Jrise","2025-12-26","","",""
"95","/Work Order迭代需求(#49)","/(#0)","","各站点域名飞机机器人预警","1、与之前每个域名独立访问数大于xx的预警相互独立
2、访问数每日推送2次。每日0-12点，12点-24点分别独立统计，然后对比昨日的数据，下降配置值，且访问数大于配置值则预警
例：设置绝对值是500，同比降幅是20%
则，访问数如果小于500，不论降幅都不预警
访问数大于500，降幅小于20%，不预警——   同比上涨是正数，下降是负数。   配置20%，则同比低于-20% 就是满足条件


3、预警格式（整个站点计算完成后 只预警一次）
以下域名降幅大于20%（20%取配置值，实际值保留2位小数点）
abc.com   1000，800，-25%
bcd.com    2000，900，-22.56%
...","需求","3","","","","未开始","0h","0h","0h","","0%","","tiger","2025-05-13","Tommy","2025-05-13","","","","","","","","","","","",""
"497","/Work Order迭代需求(#49)","/(#0)","","工单系统：自动转发三方信息，开关控制增加用户名","http://47.236.253.60/15TH02?g=4


需要转发的内容如下图
<img src=““{14671.png}““ alt=““““ />","开发","3","0000-00-00","2025-12-04 15:00:00","0000-00-00","已完成","0h","2h","0h","","100%","","abang","2025-12-02","abang","2025-12-04","damon","2025-12-04","","0000-00-00","","0000-00-00","","damon","2025-12-04","","",""
"494","/Work Order迭代需求(#49)","/(#0)","","[多人] 工单系统：工单后台主动提单","工单后台主动提单


http://47.236.253.60/TK4YH7","需求","3","","2025-12-13 11:50:00","","已完成","Justin:8.00
damon:8.00
h","Justin:8.00
damon:8.00
h","Justin:0.00
damon:0.00
h","","100%","多人串行","abang","2025-12-01","abang","2025-12-19","damon","2025-12-19","","","","","","damon","2025-12-19","","",""
"493","/Work Order迭代需求(#49)","/(#0)","","工单系统：自定义转发消息需要记录到三方转发记录","优化：自定义转发消息需要记录到三方转发记录","需求","3","","2025-12-04 11:25:00","","已完成","0h","4h","0h","","100%","","abang","2025-11-28","abang","2025-12-04","damon","2025-12-04","","","","","","damon","2025-12-04","","",""
"492","/Work Order迭代需求(#49)","/(#0)","","工单系统：数据导出条数限制调整","倒出数据从 5千增加到1万5条","需求","3","","2025-12-04 13:45:00","","已完成","0h","1h","0h","","100%","","abang","2025-11-28","abang","2025-12-04","abang","2025-12-04","","","","","","abang","2025-12-04","","",""
"491","/Work Order迭代需求(#49)","/(#0)","","工单系统：工单详情弹窗布局优化","文字信息整合在一起，改为两列
增加三方信息查询空间
添加：刷新按钮


<img src=““{14575.png}““ alt=““““ />","需求","3","","2025-11-27 20:31:13","","已完成","0h","4h","0h","","100%","","abang","2025-11-27","abang","2025-11-27","Justin","2025-11-27","","","","","","Justin","2025-11-27","","",""
"488","/Work Order迭代需求(#49)","/(#0)","","工单系统： 把有提供视频/PDF的订单都转到待处理（此功能需要开关）","有提交PDF/视频的订单应该 系统流程过完一遍后 只要没收到的 状态需要默认转到待处理 让人工处理


需要有个开启开关 要驳回 还是判断自动处理


把有提供视频/PDF的订单都转到待处理， 其他正常只提供图片的订单按照原本的正常流程


开关开启：转待处理   开关关闭：照原本的正常流程  转驳回


开关加在下图，样式技术决定


<img src=““{14488.png}““ alt=““““ />
","需求","3","","2025-12-04 08:45:00","","已完成","0h","2h","0h","","100%","","abang","2025-11-25","abang","2025-12-04","damon","2025-12-04","","","","","","damon","2025-12-04","","",""
"462","/Work Order迭代需求(#49)","/(#0)","","工单系统：存款未到账开启所有的国家自动化","存款未到账没开启所有的国家自动化。 目前只有印度才走自动化的，提现是所有国家都自动化

开启所有的国家自动化，其他国家只发订单号和图片凭证，不处理回复
","需求","3","","2025-11-18 09:05:00","","已完成","0h","8h","0h","","100%","","abang","2025-11-18","abang","2025-11-25","damon","2025-11-19","","","","","","damon","2025-11-25","","",""
"461","/Work Order迭代需求(#49)","/(#0)","","工单充值未到账，数据查询时间限制优化","取消老后台对工单查询数据的时间限制
优化后，查询到历史订单就可以提交工单
未查询到订单就无法选择对应订单提交","开发","3","","2025-11-15 18:05:00","","已完成","0h","1h","0h","","100%","","abang","2025-11-15","abang","2025-11-25","damon","2025-11-15","","","","","","damon","2025-11-25","","",""
"460","/Work Order迭代需求(#49)","/(#0)","","[多人] 工单 三方自定义信息功能","http://47.236.253.60/Q7IP5Z?g=4
1、支持文字、图片、pdf 和 视频文件
2、三方转发查询：添加“发送信息”，用于记录自定义发送的内容
3、根据第一次的@关系，确认对应的订单，展示之后所有回复信息","需求","3","0000-00-00","2025-11-18 19:41:47","0000-00-00","已完成","damon:8.00
Justin:8.00
h","damon:16.00
Justin:8.00
h","damon:0.00
Justin:0.00
h","","100%","多人并行","abang","2025-11-14","abang","2025-11-25","damon","2025-11-25","","0000-00-00","","0000-00-00","","damon","2025-11-25","","",""
"459","/Work Order迭代需求(#49)","/(#0)","","工单系统：新增工单类型“删除银行卡（全部取款方式）”","新增工单类型，
删除银行卡（全部取款方式）
效果：运营审核通过后，同时删除用户的银行卡和电子钱包","需求","3","","2025-12-06 09:50:00","","已完成","0h","8h","0h",",damon","100%","","abang","2025-11-14","abang","2025-12-06","abang","2025-12-06","","","","","","abang","2025-12-06","","",""
"457","/Work Order迭代需求(#49)","/(#0)","","工单系统关键字匹配规则优化","完整打了。not working withdrawal 就匹配取款未到账
完整打了 login not working withdrawal 就匹配修改登陆密码


只输入not working。才匹配多个一起展示 让会员选择","需求","3","","2025-11-07 18:10:00","","已完成","0h","4h","0h","","100%","","abang","2025-11-07","abang","2025-11-25","damon","2025-11-08","","","","","","damon","2025-11-25","","",""
"455","/Work Order迭代需求(#49)","/(#0)","","[多人] 工单系统关键字匹配记录","工单系统关键字匹配成功的工单
在后台也生成一条工单记录
状态设置“已匹配” 专门添加新类型用来表示自动匹配回复的单


查询需求：按时间，按工单类型，按站点","需求","3","","2025-11-06 09:05:00","","已完成","damon:8.00
Aaron:8.00
h","damon:16.00
Aaron:8.00
h","damon:0.00
Aaron:0.00
h","","100%","多人串行","abang","2025-11-06","abang","2025-12-03","Aaron","2025-12-03","","","","","","Aaron","2025-12-03","","",""
"454","/Work Order迭代需求(#49)","/(#0)","","工单系统修改密码优化","第一，用户提交修改密码的工单
第二，人工核对资料后点“确认”
第三，工单系统生成新密码同步给后台修改同时工单自动把新密码回复给用户

","需求","3","","2025-11-05 11:51:59","","已完成","0h","8h","0h","","100%","","abang","2025-11-04","abang","2025-11-08","Aaron","2025-11-08","","","","","","Aaron","2025-11-08","","",""
"453","/Work Order迭代需求(#49)","/(#0)","","工单系统，提现未到账自动转发优化","

优化提现未到账功能
提高转发的时效性
收到工单及时转发","需求","3","","2025-11-03 17:25:10","","已完成","0h","4h","0h","","100%","","abang","2025-11-03","abang","2025-11-03","Aaron","2025-11-03","","","","","","Aaron","2025-11-03","","",""
"451","/Work Order迭代需求(#49)","/(#0)","","工单系统  关键字库 10个国家数据导入","工单系统  关键字库 10个国家数据导入","需求","3","","2025-11-01 18:12:18","","已完成","0h","4h","0h","","100%","","abang","2025-10-31","abang","2025-11-03","Aaron","2025-11-03","","","","","","Aaron","2025-11-03","","",""
"449","/Work Order迭代需求(#49)","/(#0)","","[多人] 工单系统域名管理，增加内外链类型","

http://47.236.253.60/Z3ZLUV/?g=14&id=hy4osl&p=10%E6%9C%8830%E6%97%A5_%E5%B7%A5%E5%8D%95%E5%9F%9F%E5%90%8D%E4%BC%98%E5%8C%96","开发","3","","2025-10-31 17:06:51","","已完成","Aaron:6.00
peggy:6.00
h","Aaron:6.00
peggy:4.00
h","Aaron:0.00
peggy:0.00
h","","100%","多人串行","abang","2025-10-31","abang","2025-11-01","peggy","2025-11-01","","","","","","peggy","2025-11-01","","",""
"443","/Work Order迭代需求(#49)","/(#0)","","[多人]  工单系统新功能开发","1/ 提现未到账自动转发飞机群
2/ 关键字匹配推送对应工单类型


http://47.236.253.60/8P313V?g=4","开发","3","","2025-10-26 19:11:16","","已完成","Aaron:8.00
damon:8.00
Justin:8.00
h","Aaron:12.00
damon:16.00
Justin:8.00
h","Aaron:0.00
damon:0.00
Justin:0.00
h","","100%","多人串行","abang","2025-10-26","abang","2025-11-06","Justin","2025-11-06","","","","","","Justin","2025-11-06","","",""
"439","/Work Order迭代需求(#49)","/(#0)","","[多人] 老后台和工单系统 ，域名优化","


原本逻辑是： 前端从工单saas系统调用接口获取 pwa商城页，会员下载pwa后，再跳转至主彩票api域名，会很容易导致域名被报毒


新逻辑： 前端直接在主站web包中加入pwa商城也，接口直接读主站api域名，跳过一层中转，相当于直连，来解决报毒问题


工单pwa页面获取接口缓存和索引优化 



","需求","3","0000-00-00","2025-10-23 18:50:12","0000-00-00","已完成","Aaron:8.00
peggy:8.00
h","Aaron:20.00
peggy:20.00
h","Aaron:0.00
peggy:0.00
h","","100%","多人并行","abang","2025-10-23","abang","2025-10-31","Aaron","2025-10-31","","0000-00-00","","0000-00-00","","Aaron","2025-10-31","","",""
"426","/Work Order迭代需求(#49)","/(#0)","","客户端文件上传限制调整","工单上传文件（pdf，视频等） 限制条件改成50m
  之前是10m

1、上传限制调整
2、触发限制后的文案调整（10m，改成50m）所有语言都只改数字
","开发","3","","2025-10-14 11:26:10","","已完成","0h","0.5h","0h","","100%","","tiger","2025-10-13","tiger","2025-10-13","damon","2025-10-14","","","","","","damon","2025-10-14","","",""
"423","/Work Order迭代需求(#49)","/(#0)","","客户端文件上传限制调整","工单上传文件（pdf，视频等） 限制条件改成50m
  之前是10m

1、上传限制调整
2、触发限制后的文案调整（10m，改成50m）所有语言都只改数字
","开发","3","","2025-10-13 18:45:00","","已完成","0h","1h","0h","","100%","","tiger","2025-10-11","tiger","2025-10-13","Seven","2025-10-13","","","","","","Seven","2025-10-13","","",""
"296","/Work Order迭代需求(#49)","/(#0)","","转发自动化-前端","1、存款未到账工单的转发，调整成支持自动转发—— 站点自行配置开关
2、接收到转发回复的，根据配置的回复内容自动处理工单
具体需求见https://8jvwj5.axshare.com/
<img src=““{12359.png}““ alt=““““ />","开发","3","","1970-01-14 18:35:00","","已完成","0h","1h","0h","","100%","","beck","2025-09-06","beck","2025-09-06","beck","2025-09-06","","","","","","beck","2025-09-06","","",""
"295","/Work Order迭代需求(#49)","/(#0)","","新增补单三方","umpay对接信息，有任何问题请联系我们 接口文档地址： https://www.showdoc.cc/2598837230968219 密码: umoney2025","开发","3","","2025-09-05 06:30:00","","已完成","0h","1h","0h","","100%","","beck","2025-09-06","beck","2025-09-06","beck","2025-09-06","","","","","","beck","2025-09-06","","",""
"294","/Work Order迭代需求(#49)","/(#0)","","工单后台的3个优化需求","包括1、工单附件  2、一对一工单的提醒  3、图片有效性的系统判断和自动转发需要按照图片有效性

具体需求见https://docs.google.com/document/d/1KJj_LtajaXBYc2nUHXaCVwN387U5IRU4wqHCRRx7Twk
","设计","3","","2025-09-04 06:30:00","","已完成","0h","1h","0h","","100%","","beck","2025-09-06","beck","2025-09-06","beck","2025-09-06","","","","","","beck","2025-09-06","","",""
"292","/Work Order迭代需求(#49)","/(#0)","","提现工单快捷入口","在老彩票的提现记录中，增加一个提交工单的快捷入口


按钮直接使用工单前端的提交工单按钮文案（包括多语言）


按钮展示逻辑：需要全部满足条件才展示按钮
1、站点开启了工单
2、提现记录的状态是成功
3、提现时间距今45天以内


点击后的逻辑：
如果对应提现订单已提交工单（未完成），则进入工单详情
如果对应工单没有提交过工单，或者提交过，已完成状态，则进入提交提现未到账工单的提交页面


特殊情况：没配置提现未到账工单。则进入工单首页","需求","3","","2025-09-06 16:00:00","","已完成","0h","8h","0h","","100%","","tiger","2025-09-06","tiger","2025-09-08","Justin","2025-09-08","","","","","","Justin","2025-09-08","","",""
"158","/Work Order迭代需求(#49)","/(#0)","","一对一客服工单类型的评论数据下载","1、新增一个按钮，命名为【评论导出】—— 需要做后台多语言

2、按钮限制
a，权限控制（没权限的看不到）
b，查询条件限制（工单类型必须是一对一客服）才点亮

3、数据要求
a，查询结果1万条内，需要可以顺利导出
b，数据格式：工单号、对话内容
对话内容需要包含时间和文本内容，如果有图片的，直接按【图片】展示—— 不需要下载图片

<img src=““{9267.png}““ alt=““““ />
","需求","3","","2025-07-11 09:00:00","","已完成","0h","8h","0h","","100%","","tiger","2025-07-10","tiger","2025-11-25","damon","2025-07-12","","","","","","damon","2025-11-25","","",""
"154","/Work Order迭代需求(#49)","/(#0)","","[多人] 自营支付通道存款单的特殊处理+所有工单备注内容可传图片","需求1
存款单的三方映射码小于10000的工单，不调彩票接口补单，不作自动化。
生成成功后，直接进入待处理（无法补单，无法转发）


需求2
所有工单的备注增加上传图片功能——可以传一张图片
104.28.205.70 <img src=““{8831.png}““ alt=““““ />","需求","3","","2025-07-07 09:00:00","","已完成","damon:24.00
Justin:16.00
h","damon:16.00
Justin:8.00
h","damon:0.00
Justin:0.00
h","","100%","多人串行","tiger","2025-07-05","tiger","2025-11-25","Justin","2025-11-25","","","","","","Justin","2025-11-25","","",""
"110","/Work Order迭代需求(#49)","/(#0)","","三个优化需求","包括1、工单附件展示   2、一对一工单的提醒   3、图片有效性的系统判断及自动转发需要根据有效图片


具体需求见https://docs.google.com/document/d/1KJj_LtajaXBYc2nUHXaCVwN387U5IRU4wqHCRRx7Twk","需求","3","","2025-06-02 08:45:00","","已完成","0h","8h","0h","","100%","","tiger","2025-06-02","tiger","2025-11-25","damon","2025-06-02","","","","","","damon","2025-11-25","","",""
"93","/Work Order迭代需求(#49)","/(#0)","","转发自动化","1、转发调整成自动化且站点自行控制是否需要自动转发
2、转发后有回复的，根据配置好的自动处理进行自动处理
具体需求见https://8jvwj5.axshare.com
<img src=““{6357.png}““ alt=““““ />","需求","3","","2025-05-08 08:50:00","","已完成","0h","8h","0h","","100%","","tiger","2025-05-08","tiger","2025-11-25","damon","2025-05-08","","","","","","damon","2025-11-25","","",""
"11","/Work Order迭代需求(#49)","/(#0)","","[多人] 一对一客服新增自动回复 ","1、各站点自行配置自动回复匹配词汇


2、客户端，用户只要提交一对一客服时，文本内容名中配置的词汇，一对一工单立即变更状态为【已完成】，回复内容（备注）是配置的内容


<img src=““{5773.png}““ alt=““““ />
<img src=““{5780.png}““ alt=““““ />

","开发","3","","2025-04-03 18:21:38","","已完成","damon:16.00
Justin:8.00
h","damon:8.00
Justin:8.00
h","damon:0.00
Justin:0.00
h","","100%","多人并行","tiger","2025-03-25","tiger","2025-11-06","damon","2025-11-06","","","","","","damon","2025-11-06","","",""
"498","/Work Order迭代需求(#49)","/(#0)","","工单系统：批量创建日报权限账户","

  
    
      
        
          
            
              
                
                  
                    
                      创建一个角色。叫日报运营，只给工单日报表的权限（权限名是数据查询-日报），然后每个站点都要创建一个授权日报权限的用户，用户名是站点名+shujucx001，密码都设置成一样的，你可以随机    谷歌验证码勾选，首次登录自己扫                   比如：ar001shujucx001     密码QQ123456
                      

                       用户名是站点名+shujucx001         第二个号最后面就002   以此类推 
                    
                  
                
              
            
          
        
      
    
  
","需求","3","","","","已关闭","0h","0h","0h","","0%","","abang","2025-12-04","Closed","2025-12-10","","0000-00-00","abang","2025-12-10","abang","2025-12-10","已取消","abang","2025-12-10","","",""
"468","/Work Order迭代需求(#49)","/(#0)","","工单系统：移植新平台已完成的日报表 + 三方转发查询记录","将新平台的工单日报表移植到工单后台
关联之前的任务链接如下
https://zentao.argames.me/zentao/story-view-1076-0--story.html






代收三方转发查询记录


搜索栏这里加上  
1. 查询操作人
2. 查询结果 
3. 回复内容


<img src=““{14427.png}““ alt=““““ />

","需求","3","0000-00-00","2025-11-26 08:45:00","0000-00-00","已关闭","0h","4h","0h","","100%","","abang","2025-11-21","Closed","2025-11-28","damon","2025-11-26","","0000-00-00","Figo","2025-11-28","已完成","Figo","2025-11-28","","",""
任务名称前有'>'标记的为子任务